;Annualized fixed costs (€/kW.an);;;Annuity (€/kWh.an);Annulized fixed cost (€/kW.an);scenario vatiation;;;;;CAPEX (€/kW);;;CAPEX (€/kWh);CAPEX (€/kW);OPEX (€/kW.an);;;
scen;offshore;onshore;pv;battery;methanation;offshore;onshore;pv;battery;methanation;offshore;onshore;pv;battery;methanation;offshore;onshore;pv;methanation
1;143.9889646;84.68328488;20.5668;5.316987546;71.70543182;-25%;-25%;-50%;-50%;-50%;1747,5;747,5;211,7;50;575;34,95;22,425;4,4457;29,7
2;143.9889646;84.68328488;20.5668;5.316987546;143.4108636;-25%;-25%;-50%;-50%;central;1747,5;747,5;211,7;50;1150;34,95;22,425;4,4457;59,3
3;143.9889646;84.68328488;20.5668;5.316987546;215.1162955;-25%;-25%;-50%;-50%;50%;1747,5;747,5;211,7;50;1725;34,95;22,425;4,4457;89
4;143.9889646;84.68328488;20.5668;10.63397509;71.70543182;-25%;-25%;-50%;central;-50%;1747,5;747,5;211,7;100;575;34,95;22,425;4,4457;29,7
5;143.9889646;84.68328488;20.5668;10.63397509;143.4108636;-25%;-25%;-50%;central;central;1747,5;747,5;211,7;100;1150;34,95;22,425;4,4457;59,3
6;143.9889646;84.68328488;20.5668;10.63397509;215.1162955;-25%;-25%;-50%;central;50%;1747,5;747,5;211,7;100;1725;34,95;22,425;4,4457;89
7;143.9889646;84.68328488;20.5668;15.95096264;71.70543182;-25%;-25%;-50%;50%;-50%;1747,5;747,5;211,7;150;575;34,95;22,425;4,4457;29,7
8;143.9889646;84.68328488;20.5668;15.95096264;143.4108636;-25%;-25%;-50%;50%;central;1747,5;747,5;211,7;150;1150;34,95;22,425;4,4457;59,3
9;143.9889646;84.68328488;20.5668;15.95096264;215.1162955;-25%;-25%;-50%;50%;50%;1747,5;747,5;211,7;150;1725;34,95;22,425;4,4457;89
10;143.9889646;84.68328488;29.89909335;5.316987546;71.70543182;-25%;-25%;-25%;-50%;-50%;1747,5;747,5;423,3;50;575;34,95;22,425;8,8893;29,7
11;143.9889646;84.68328488;29.89909335;5.316987546;143.4108636;-25%;-25%;-25%;-50%;central;1747,5;747,5;423,3;50;1150;34,95;22,425;8,8893;59,3
12;143.9889646;84.68328488;29.89909335;5.316987546;215.1162955;-25%;-25%;-25%;-50%;50%;1747,5;747,5;423,3;50;1725;34,95;22,425;8,8893;89
13;143.9889646;84.68328488;29.89909335;10.63397509;71.70543182;-25%;-25%;-25%;central;-50%;1747,5;747,5;423,3;100;575;34,95;22,425;8,8893;29,7
14;143.9889646;84.68328488;29.89909335;10.63397509;143.4108636;-25%;-25%;-25%;central;central;1747,5;747,5;423,3;100;1150;34,95;22,425;8,8893;59,3
15;143.9889646;84.68328488;29.89909335;10.63397509;215.1162955;-25%;-25%;-25%;central;50%;1747,5;747,5;423,3;100;1725;34,95;22,425;8,8893;89
16;143.9889646;84.68328488;29.89909335;15.95096264;71.70543182;-25%;-25%;-25%;50%;-50%;1747,5;747,5;423,3;150;575;34,95;22,425;8,8893;29,7
17;143.9889646;84.68328488;29.89909335;15.95096264;143.4108636;-25%;-25%;-25%;50%;central;1747,5;747,5;423,3;150;1150;34,95;22,425;8,8893;59,3
18;143.9889646;84.68328488;29.89909335;15.95096264;215.1162955;-25%;-25%;-25%;50%;50%;1747,5;747,5;423,3;150;1725;34,95;22,425;8,8893;89
19;143.9889646;84.68328488;39.23139049;5.316987546;71.70543182;-25%;-25%;central;-50%;-50%;1747,5;747,5;423,3;50;575;34,95;22,425;8,8893;29,7
20;143.9889646;84.68328488;39.23139049;5.316987546;143.4108636;-25%;-25%;central;-50%;central;1747,5;747,5;423,3;50;1150;34,95;22,425;8,8893;59,3
21;143.9889646;84.68328488;39.23139049;5.316987546;215.1162955;-25%;-25%;central;-50%;50%;1747,5;747,5;423,3;50;1725;34,95;22,425;8,8893;89
22;143.9889646;84.68328488;39.23139049;10.63397509;71.70543182;-25%;-25%;central;central;-50%;1747,5;747,5;423,3;100;575;34,95;22,425;8,8893;29,7
23;143.9889646;84.68328488;39.23139049;10.63397509;143.4108636;-25%;-25%;central;central;central;1747,5;747,5;423,3;100;1150;34,95;22,425;8,8893;59,3
24;143.9889646;84.68328488;39.23139049;10.63397509;215.1162955;-25%;-25%;central;central;50%;1747,5;747,5;423,3;100;1725;34,95;22,425;8,8893;89
25;143.9889646;84.68328488;39.23139049;15.95096264;71.70543182;-25%;-25%;central;50%;-50%;1747,5;747,5;423,3;150;575;34,95;22,425;8,8893;29,7
26;143.9889646;84.68328488;39.23139049;15.95096264;143.4108636;-25%;-25%;central;50%;central;1747,5;747,5;423,3;150;1150;34,95;22,425;8,8893;59,3
27;143.9889646;84.68328488;39.23139049;15.95096264;215.1162955;-25%;-25%;central;50%;50%;1747,5;747,5;423,3;150;1725;34,95;22,425;8,8893;89
28;143.9889646;84.68328488;48.56368762;5.316987546;71.70543182;-25%;-25%;25%;-50%;-50%;1747,5;747,5;423,3;50;575;34,95;22,425;8,8893;29,7
29;143.9889646;84.68328488;48.56368762;5.316987546;143.4108636;-25%;-25%;25%;-50%;central;1747,5;747,5;423,3;50;1150;34,95;22,425;8,8893;59,3
30;143.9889646;84.68328488;48.56368762;5.316987546;215.1162955;-25%;-25%;25%;-50%;50%;1747,5;747,5;423,3;50;1725;34,95;22,425;8,8893;89
31;143.9889646;84.68328488;48.56368762;10.63397509;71.70543182;-25%;-25%;25%;central;-50%;1747,5;747,5;423,3;100;575;34,95;22,425;8,8893;29,7
32;143.9889646;84.68328488;48.56368762;10.63397509;143.4108636;-25%;-25%;25%;central;central;1747,5;747,5;423,3;100;1150;34,95;22,425;8,8893;59,3
33;143.9889646;84.68328488;48.56368762;10.63397509;215.1162955;-25%;-25%;25%;central;50%;1747,5;747,5;423,3;100;1725;34,95;22,425;8,8893;89
34;143.9889646;84.68328488;48.56368762;15.95096264;71.70543182;-25%;-25%;25%;50%;-50%;1747,5;747,5;423,3;150;575;34,95;22,425;8,8893;29,7
35;143.9889646;84.68328488;48.56368762;15.95096264;143.4108636;-25%;-25%;25%;50%;central;1747,5;747,5;423,3;150;1150;34,95;22,425;8,8893;59,3
36;143.9889646;84.68328488;48.56368762;15.95096264;215.1162955;-25%;-25%;25%;50%;50%;1747,5;747,5;423,3;150;1725;34,95;22,425;8,8893;89
37;143.9889646;84.68328488;57.89598475;5.316987546;71.70543182;-25%;-25%;50%;-50%;-50%;1747,5;747,5;635;50;575;34,95;22,425;13,335;29,7
38;143.9889646;84.68328488;57.89598475;5.316987546;143.4108636;-25%;-25%;50%;-50%;central;1747,5;747,5;635;50;1150;34,95;22,425;13,335;59,3
39;143.9889646;84.68328488;57.89598475;5.316987546;215.1162955;-25%;-25%;50%;-50%;50%;1747,5;747,5;635;50;1725;34,95;22,425;13,335;89
40;143.9889646;84.68328488;57.89598475;10.63397509;71.70543182;-25%;-25%;50%;central;-50%;1747,5;747,5;635;100;575;34,95;22,425;13,335;29,7
41;143.9889646;84.68328488;57.89598475;10.63397509;143.4108636;-25%;-25%;50%;central;central;1747,5;747,5;635;100;1150;34,95;22,425;13,335;59,3
42;143.9889646;84.68328488;57.89598475;10.63397509;215.1162955;-25%;-25%;50%;central;50%;1747,5;747,5;635;100;1725;34,95;22,425;13,335;89
43;143.9889646;84.68328488;57.89598475;15.95096264;71.70543182;-25%;-25%;50%;50%;-50%;1747,5;747,5;635;150;575;34,95;22,425;13,335;29,7
44;143.9889646;84.68328488;57.89598475;15.95096264;143.4108636;-25%;-25%;50%;50%;central;1747,5;747,5;635;150;1150;34,95;22,425;13,335;59,3
45;143.9889646;84.68328488;57.89598475;15.95096264;215.1162955;-25%;-25%;50%;50%;50%;1747,5;747,5;635;150;1725;34,95;22,425;13,335;89
46;191.3995384;84.68328488;20.5668;5.316987546;71.70543182;central;-25%;-50%;-50%;-50%;2330;747,5;211,7;50;575;46,6;22,425;4,4457;29,7
47;191.3995384;84.68328488;20.5668;5.316987546;143.4108636;central;-25%;-50%;-50%;central;2330;747,5;211,7;50;1150;46,6;22,425;4,4457;59,3
48;191.3995384;84.68328488;20.5668;5.316987546;215.1162955;central;-25%;-50%;-50%;50%;2330;747,5;211,7;50;1725;46,6;22,425;4,4457;89
49;191.3995384;84.68328488;20.5668;10.63397509;71.70543182;central;-25%;-50%;central;-50%;2330;747,5;211,7;100;575;46,6;22,425;4,4457;29,7
50;191.3995384;84.68328488;20.5668;10.63397509;143.4108636;central;-25%;-50%;central;central;2330;747,5;211,7;100;1150;46,6;22,425;4,4457;59,3
51;191.3995384;84.68328488;20.5668;10.63397509;215.1162955;central;-25%;-50%;central;50%;2330;747,5;211,7;100;1725;46,6;22,425;4,4457;89
52;191.3995384;84.68328488;20.5668;15.95096264;71.70543182;central;-25%;-50%;50%;-50%;2330;747,5;211,7;150;575;46,6;22,425;4,4457;29,7
53;191.3995384;84.68328488;20.5668;15.95096264;143.4108636;central;-25%;-50%;50%;central;2330;747,5;211,7;150;1150;46,6;22,425;4,4457;59,3
54;191.3995384;84.68328488;20.5668;15.95096264;215.1162955;central;-25%;-50%;50%;50%;2330;747,5;211,7;150;1725;46,6;22,425;4,4457;89
55;191.3995384;84.68328488;29.89909335;5.316987546;71.70543182;central;-25%;-25%;-50%;-50%;2330;747,5;423,3;50;575;46,6;22,425;8,8893;29,7
56;191.3995384;84.68328488;29.89909335;5.316987546;143.4108636;central;-25%;-25%;-50%;central;2330;747,5;423,3;50;1150;46,6;22,425;8,8893;59,3
57;191.3995384;84.68328488;29.89909335;5.316987546;215.1162955;central;-25%;-25%;-50%;50%;2330;747,5;423,3;50;1725;46,6;22,425;8,8893;89
58;191.3995384;84.68328488;29.89909335;10.63397509;71.70543182;central;-25%;-25%;central;-50%;2330;747,5;423,3;100;575;46,6;22,425;8,8893;29,7
59;191.3995384;84.68328488;29.89909335;10.63397509;143.4108636;central;-25%;-25%;central;central;2330;747,5;423,3;100;1150;46,6;22,425;8,8893;59,3
60;191.3995384;84.68328488;29.89909335;10.63397509;215.1162955;central;-25%;-25%;central;50%;2330;747,5;423,3;100;1725;46,6;22,425;8,8893;89
61;191.3995384;84.68328488;29.89909335;15.95096264;71.70543182;central;-25%;-25%;50%;-50%;2330;747,5;423,3;150;575;46,6;22,425;8,8893;29,7
62;191.3995384;84.68328488;29.89909335;15.95096264;143.4108636;central;-25%;-25%;50%;central;2330;747,5;423,3;150;1150;46,6;22,425;8,8893;59,3
63;191.3995384;84.68328488;29.89909335;15.95096264;215.1162955;central;-25%;-25%;50%;50%;2330;747,5;423,3;150;1725;46,6;22,425;8,8893;89
64;191.3995384;84.68328488;39.23139049;5.316987546;71.70543182;central;-25%;central;-50%;-50%;2330;747,5;423,3;50;575;46,6;22,425;8,8893;29,7
65;191.3995384;84.68328488;39.23139049;5.316987546;143.4108636;central;-25%;central;-50%;central;2330;747,5;423,3;50;1150;46,6;22,425;8,8893;59,3
66;191.3995384;84.68328488;39.23139049;5.316987546;215.1162955;central;-25%;central;-50%;50%;2330;747,5;423,3;50;1725;46,6;22,425;8,8893;89
67;191.3995384;84.68328488;39.23139049;10.63397509;71.70543182;central;-25%;central;central;-50%;2330;747,5;423,3;100;575;46,6;22,425;8,8893;29,7
68;191.3995384;84.68328488;39.23139049;10.63397509;143.4108636;central;-25%;central;central;central;2330;747,5;423,3;100;1150;46,6;22,425;8,8893;59,3
69;191.3995384;84.68328488;39.23139049;10.63397509;215.1162955;central;-25%;central;central;50%;2330;747,5;423,3;100;1725;46,6;22,425;8,8893;89
70;191.3995384;84.68328488;39.23139049;15.95096264;71.70543182;central;-25%;central;50%;-50%;2330;747,5;423,3;150;575;46,6;22,425;8,8893;29,7
71;191.3995384;84.68328488;39.23139049;15.95096264;143.4108636;central;-25%;central;50%;central;2330;747,5;423,3;150;1150;46,6;22,425;8,8893;59,3
72;191.3995384;84.68328488;39.23139049;15.95096264;215.1162955;central;-25%;central;50%;50%;2330;747,5;423,3;150;1725;46,6;22,425;8,8893;89
73;191.3995384;84.68328488;48.56368762;5.316987546;71.70543182;central;-25%;25%;-50%;-50%;2330;747,5;423,3;50;575;46,6;22,425;8,8893;29,7
74;191.3995384;84.68328488;48.56368762;5.316987546;143.4108636;central;-25%;25%;-50%;central;2330;747,5;423,3;50;1150;46,6;22,425;8,8893;59,3
75;191.3995384;84.68328488;48.56368762;5.316987546;215.1162955;central;-25%;25%;-50%;50%;2330;747,5;423,3;50;1725;46,6;22,425;8,8893;89
76;191.3995384;84.68328488;48.56368762;10.63397509;71.70543182;central;-25%;25%;central;-50%;2330;747,5;423,3;100;575;46,6;22,425;8,8893;29,7
77;191.3995384;84.68328488;48.56368762;10.63397509;143.4108636;central;-25%;25%;central;central;2330;747,5;423,3;100;1150;46,6;22,425;8,8893;59,3
78;191.3995384;84.68328488;48.56368762;10.63397509;215.1162955;central;-25%;25%;central;50%;2330;747,5;423,3;100;1725;46,6;22,425;8,8893;89
79;191.3995384;84.68328488;48.56368762;15.95096264;71.70543182;central;-25%;25%;50%;-50%;2330;747,5;423,3;150;575;46,6;22,425;8,8893;29,7
80;191.3995384;84.68328488;48.56368762;15.95096264;143.4108636;central;-25%;25%;50%;central;2330;747,5;423,3;150;1150;46,6;22,425;8,8893;59,3
81;191.3995384;84.68328488;48.56368762;15.95096264;215.1162955;central;-25%;25%;50%;50%;2330;747,5;423,3;150;1725;46,6;22,425;8,8893;89
82;191.3995384;84.68328488;57.89598475;5.316987546;71.70543182;central;-25%;50%;-50%;-50%;2330;747,5;635;50;575;46,6;22,425;13,335;29,7
83;191.3995384;84.68328488;57.89598475;5.316987546;143.4108636;central;-25%;50%;-50%;central;2330;747,5;635;50;1150;46,6;22,425;13,335;59,3
84;191.3995384;84.68328488;57.89598475;5.316987546;215.1162955;central;-25%;50%;-50%;50%;2330;747,5;635;50;1725;46,6;22,425;13,335;89
85;191.3995384;84.68328488;57.89598475;10.63397509;71.70543182;central;-25%;50%;central;-50%;2330;747,5;635;100;575;46,6;22,425;13,335;29,7
86;191.3995384;84.68328488;57.89598475;10.63397509;143.4108636;central;-25%;50%;central;central;2330;747,5;635;100;1150;46,6;22,425;13,335;59,3
87;191.3995384;84.68328488;57.89598475;10.63397509;215.1162955;central;-25%;50%;central;50%;2330;747,5;635;100;1725;46,6;22,425;13,335;89
88;191.3995384;84.68328488;57.89598475;15.95096264;71.70543182;central;-25%;50%;50%;-50%;2330;747,5;635;150;575;46,6;22,425;13,335;29,7
89;191.3995384;84.68328488;57.89598475;15.95096264;143.4108636;central;-25%;50%;50%;central;2330;747,5;635;150;1150;46,6;22,425;13,335;59,3
90;191.3995384;84.68328488;57.89598475;15.95096264;215.1162955;central;-25%;50%;50%;50%;2330;747,5;635;150;1725;46,6;22,425;13,335;89
91;143.9889646;112.2098103;20.5668;5.316987546;71.70543182;-25%;central;-50%;-50%;-50%;1747,5;1130;211,7;50;575;34,95;33,9;4,4457;29,7
92;143.9889646;112.2098103;20.5668;5.316987546;143.4108636;-25%;central;-50%;-50%;central;1747,5;1130;211,7;50;1150;34,95;33,9;4,4457;59,3
93;143.9889646;112.2098103;20.5668;5.316987546;215.1162955;-25%;central;-50%;-50%;50%;1747,5;1130;211,7;50;1725;34,95;33,9;4,4457;89
94;143.9889646;112.2098103;20.5668;10.63397509;71.70543182;-25%;central;-50%;central;-50%;1747,5;1130;211,7;100;575;34,95;33,9;4,4457;29,7
95;143.9889646;112.2098103;20.5668;10.63397509;143.4108636;-25%;central;-50%;central;central;1747,5;1130;211,7;100;1150;34,95;33,9;4,4457;59,3
96;143.9889646;112.2098103;20.5668;10.63397509;215.1162955;-25%;central;-50%;central;50%;1747,5;1130;211,7;100;1725;34,95;33,9;4,4457;89
97;143.9889646;112.2098103;20.5668;15.95096264;71.70543182;-25%;central;-50%;50%;-50%;1747,5;1130;211,7;150;575;34,95;33,9;4,4457;29,7
98;143.9889646;112.2098103;20.5668;15.95096264;143.4108636;-25%;central;-50%;50%;central;1747,5;1130;211,7;150;1150;34,95;33,9;4,4457;59,3
99;143.9889646;112.2098103;20.5668;15.95096264;215.1162955;-25%;central;-50%;50%;50%;1747,5;1130;211,7;150;1725;34,95;33,9;4,4457;89
100;143.9889646;112.2098103;29.89909335;5.316987546;71.70543182;-25%;central;-25%;-50%;-50%;1747,5;1130;423,3;50;575;34,95;33,9;8,8893;29,7
101;143.9889646;112.2098103;29.89909335;5.316987546;143.4108636;-25%;central;-25%;-50%;central;1747,5;1130;423,3;50;1150;34,95;33,9;8,8893;59,3
102;143.9889646;112.2098103;29.89909335;5.316987546;215.1162955;-25%;central;-25%;-50%;50%;1747,5;1130;423,3;50;1725;34,95;33,9;8,8893;89
103;143.9889646;112.2098103;29.89909335;10.63397509;71.70543182;-25%;central;-25%;central;-50%;1747,5;1130;423,3;100;575;34,95;33,9;8,8893;29,7
104;143.9889646;112.2098103;29.89909335;10.63397509;143.4108636;-25%;central;-25%;central;central;1747,5;1130;423,3;100;1150;34,95;33,9;8,8893;59,3
105;143.9889646;112.2098103;29.89909335;10.63397509;215.1162955;-25%;central;-25%;central;50%;1747,5;1130;423,3;100;1725;34,95;33,9;8,8893;89
106;143.9889646;112.2098103;29.89909335;15.95096264;71.70543182;-25%;central;-25%;50%;-50%;1747,5;1130;423,3;150;575;34,95;33,9;8,8893;29,7
107;143.9889646;112.2098103;29.89909335;15.95096264;143.4108636;-25%;central;-25%;50%;central;1747,5;1130;423,3;150;1150;34,95;33,9;8,8893;59,3
108;143.9889646;112.2098103;29.89909335;15.95096264;215.1162955;-25%;central;-25%;50%;50%;1747,5;1130;423,3;150;1725;34,95;33,9;8,8893;89
109;143.9889646;112.2098103;39.23139049;5.316987546;71.70543182;-25%;central;central;-50%;-50%;1747,5;1130;423,3;50;575;34,95;33,9;8,8893;29,7
110;143.9889646;112.2098103;39.23139049;5.316987546;143.4108636;-25%;central;central;-50%;central;1747,5;1130;423,3;50;1150;34,95;33,9;8,8893;59,3
111;143.9889646;112.2098103;39.23139049;5.316987546;215.1162955;-25%;central;central;-50%;50%;1747,5;1130;423,3;50;1725;34,95;33,9;8,8893;89
112;143.9889646;112.2098103;39.23139049;10.63397509;71.70543182;-25%;central;central;central;-50%;1747,5;1130;423,3;100;575;34,95;33,9;8,8893;29,7
113;143.9889646;112.2098103;39.23139049;10.63397509;143.4108636;-25%;central;central;central;central;1747,5;1130;423,3;100;1150;34,95;33,9;8,8893;59,3
114;143.9889646;112.2098103;39.23139049;10.63397509;215.1162955;-25%;central;central;central;50%;1747,5;1130;423,3;100;1725;34,95;33,9;8,8893;89
115;143.9889646;112.2098103;39.23139049;15.95096264;71.70543182;-25%;central;central;50%;-50%;1747,5;1130;423,3;150;575;34,95;33,9;8,8893;29,7
116;143.9889646;112.2098103;39.23139049;15.95096264;143.4108636;-25%;central;central;50%;central;1747,5;1130;423,3;150;1150;34,95;33,9;8,8893;59,3
117;143.9889646;112.2098103;39.23139049;15.95096264;215.1162955;-25%;central;central;50%;50%;1747,5;1130;423,3;150;1725;34,95;33,9;8,8893;89
118;143.9889646;112.2098103;48.56368762;5.316987546;71.70543182;-25%;central;25%;-50%;-50%;1747,5;1130;423,3;50;575;34,95;33,9;8,8893;29,7
119;143.9889646;112.2098103;48.56368762;5.316987546;143.4108636;-25%;central;25%;-50%;central;1747,5;1130;423,3;50;1150;34,95;33,9;8,8893;59,3
120;143.9889646;112.2098103;48.56368762;5.316987546;215.1162955;-25%;central;25%;-50%;50%;1747,5;1130;423,3;50;1725;34,95;33,9;8,8893;89
121;143.9889646;112.2098103;48.56368762;10.63397509;71.70543182;-25%;central;25%;central;-50%;1747,5;1130;423,3;100;575;34,95;33,9;8,8893;29,7
122;143.9889646;112.2098103;48.56368762;10.63397509;143.4108636;-25%;central;25%;central;central;1747,5;1130;423,3;100;1150;34,95;33,9;8,8893;59,3
123;143.9889646;112.2098103;48.56368762;10.63397509;215.1162955;-25%;central;25%;central;50%;1747,5;1130;423,3;100;1725;34,95;33,9;8,8893;89
124;143.9889646;112.2098103;48.56368762;15.95096264;71.70543182;-25%;central;25%;50%;-50%;1747,5;1130;423,3;150;575;34,95;33,9;8,8893;29,7
125;143.9889646;112.2098103;48.56368762;15.95096264;143.4108636;-25%;central;25%;50%;central;1747,5;1130;423,3;150;1150;34,95;33,9;8,8893;59,3
126;143.9889646;112.2098103;48.56368762;15.95096264;215.1162955;-25%;central;25%;50%;50%;1747,5;1130;423,3;150;1725;34,95;33,9;8,8893;89
127;143.9889646;112.2098103;57.89598475;5.316987546;71.70543182;-25%;central;50%;-50%;-50%;1747,5;1130;635;50;575;34,95;33,9;13,335;29,7
128;143.9889646;112.2098103;57.89598475;5.316987546;143.4108636;-25%;central;50%;-50%;central;1747,5;1130;635;50;1150;34,95;33,9;13,335;59,3
129;143.9889646;112.2098103;57.89598475;5.316987546;215.1162955;-25%;central;50%;-50%;50%;1747,5;1130;635;50;1725;34,95;33,9;13,335;89
130;143.9889646;112.2098103;57.89598475;10.63397509;71.70543182;-25%;central;50%;central;-50%;1747,5;1130;635;100;575;34,95;33,9;13,335;29,7
131;143.9889646;112.2098103;57.89598475;10.63397509;143.4108636;-25%;central;50%;central;central;1747,5;1130;635;100;1150;34,95;33,9;13,335;59,3
132;143.9889646;112.2098103;57.89598475;10.63397509;215.1162955;-25%;central;50%;central;50%;1747,5;1130;635;100;1725;34,95;33,9;13,335;89
133;143.9889646;112.2098103;57.89598475;15.95096264;71.70543182;-25%;central;50%;50%;-50%;1747,5;1130;635;150;575;34,95;33,9;13,335;29,7
134;143.9889646;112.2098103;57.89598475;15.95096264;143.4108636;-25%;central;50%;50%;central;1747,5;1130;635;150;1150;34,95;33,9;13,335;59,3
135;143.9889646;112.2098103;57.89598475;15.95096264;215.1162955;-25%;central;50%;50%;50%;1747,5;1130;635;150;1725;34,95;33,9;13,335;89
136;191.3995384;112.2098103;20.5668;5.316987546;71.70543182;central;central;-50%;-50%;-50%;2330;1130;211,7;50;575;46,6;33,9;4,4457;29,7
137;191.3995384;112.2098103;20.5668;5.316987546;143.4108636;central;central;-50%;-50%;central;2330;1130;211,7;50;1150;46,6;33,9;4,4457;59,3
138;191.3995384;112.2098103;20.5668;5.316987546;215.1162955;central;central;-50%;-50%;50%;2330;1130;211,7;50;1725;46,6;33,9;4,4457;89
139;191.3995384;112.2098103;20.5668;10.63397509;71.70543182;central;central;-50%;central;-50%;2330;1130;211,7;100;575;46,6;33,9;4,4457;29,7
140;191.3995384;112.2098103;20.5668;10.63397509;143.4108636;central;central;-50%;central;central;2330;1130;211,7;100;1150;46,6;33,9;4,4457;59,3
141;191.3995384;112.2098103;20.5668;10.63397509;215.1162955;central;central;-50%;central;50%;2330;1130;211,7;100;1725;46,6;33,9;4,4457;89
142;191.3995384;112.2098103;20.5668;15.95096264;71.70543182;central;central;-50%;50%;-50%;2330;1130;211,7;150;575;46,6;33,9;4,4457;29,7
143;191.3995384;112.2098103;20.5668;15.95096264;143.4108636;central;central;-50%;50%;central;2330;1130;211,7;150;1150;46,6;33,9;4,4457;59,3
144;191.3995384;112.2098103;20.5668;15.95096264;215.1162955;central;central;-50%;50%;50%;2330;1130;211,7;150;1725;46,6;33,9;4,4457;89
145;191.3995384;112.2098103;29.89909335;5.316987546;71.70543182;central;central;-25%;-50%;-50%;2330;1130;423,3;50;575;46,6;33,9;8,8893;29,7
146;191.3995384;112.2098103;29.89909335;5.316987546;143.4108636;central;central;-25%;-50%;central;2330;1130;423,3;50;1150;46,6;33,9;8,8893;59,3
147;191.3995384;112.2098103;29.89909335;5.316987546;215.1162955;central;central;-25%;-50%;50%;2330;1130;423,3;50;1725;46,6;33,9;8,8893;89
148;191.3995384;112.2098103;29.89909335;10.63397509;71.70543182;central;central;-25%;central;-50%;2330;1130;423,3;100;575;46,6;33,9;8,8893;29,7
149;191.3995384;112.2098103;29.89909335;10.63397509;143.4108636;central;central;-25%;central;central;2330;1130;423,3;100;1150;46,6;33,9;8,8893;59,3
150;191.3995384;112.2098103;29.89909335;10.63397509;215.1162955;central;central;-25%;central;50%;2330;1130;423,3;100;1725;46,6;33,9;8,8893;89
151;191.3995384;112.2098103;29.89909335;15.95096264;71.70543182;central;central;-25%;50%;-50%;2330;1130;423,3;150;575;46,6;33,9;8,8893;29,7
152;191.3995384;112.2098103;29.89909335;15.95096264;143.4108636;central;central;-25%;50%;central;2330;1130;423,3;150;1150;46,6;33,9;8,8893;59,3
153;191.3995384;112.2098103;29.89909335;15.95096264;215.1162955;central;central;-25%;50%;50%;2330;1130;423,3;150;1725;46,6;33,9;8,8893;89
154;191.3995384;112.2098103;39.23139049;5.316987546;71.70543182;central;central;central;-50%;-50%;2330;1130;423,3;50;575;46,6;33,9;8,8893;29,7
155;191.3995384;112.2098103;39.23139049;5.316987546;143.4108636;central;central;central;-50%;central;2330;1130;423,3;50;1150;46,6;33,9;8,8893;59,3
156;191.3995384;112.2098103;39.23139049;5.316987546;215.1162955;central;central;central;-50%;50%;2330;1130;423,3;50;1725;46,6;33,9;8,8893;89
